sentence,paraphrased,label
"Zero Harm means achieving zero injuries, zero occupational illnesses and zero fatalities.","Achieving zero harm entails preventing all accidents, illnesses related to the workplace, and fatalities.",HC
The global customer privacy policy sets out Agilent's privacy strategy.,Agilent's privacy strategy is outlined in the global customer privacy policy.,PL
Alliance Data has reduced GHG emissions by 28% since 2014.,"Since 2014, Alliance Data has decreased GHG emissions by 28%.",CC
We recommended the preservation of a wildlife area protected by a landscaped screening ridge.,We suggested that a wildlife area that is screened by a manicured ridge be preserved.,NC
Paper made from 100% recycled fibers.,Paper manufactured entirely from recycled materials.,NC
"So far, they’ve raised more than 90,000 Indian rupees in support of a local orphanage.","They have already contributed more than 90,000 Indian rupees to a nearby orphanage.",CR
"In the spring of 2017, we held a fundraiser in Houston for the AERF.",We organized a fundraiser for the AERF in Houston in the spring of 2017.,CR
Minimize use of freshwater resources in water-stressed locations.,Reduce the usage of freshwater resources in areas with limited water supply.,NC
We’re preserving the planet’s valuable resources.,The priceless riches of the planet are being preserved.,NC
"The Company currently follows APB 25 in accounting for stock-based compensation, as disclosed above.","As mentioned above, the Company currently accounts for stock-based remuneration in accordance with APB 25.",N
Apprenticeship training has proven to be a safe and effective way to reduce skilled labor shortages.,Reduced skilled labor shortages can be achieved safely and effectively through apprenticeship training.,HC
The maturities of the commercial paper vary but may not exceed 397 days from the date of issue.,"The commercial paper has a range of maturities, although they cannot go beyond 397 days from the date of issue.",N
Our effective tax rate for 2003 was 43.02 percent compared to 38.34 percent for the prior year.,"In comparison to the previous year, our effective tax rate for 2003 was 43.02 percent as opposed to 38.34 percent.",N
All prior period information has been presented on the same basis.,Information from earlier periods has been provided consistently.,N
All global actors need to take immediate action to combat climate change.,"To stop climate change, all global actors must act right away.",CC
Index (SAIFI) represents the number of interruptions experienced by customers in a year.,The SAIFI Index (SAIFI) shows how many interruptions clients experience annually.,PL
"Hence, our focus lies in our emissions from operations and supply chain issues.",We concentrate on supply chain challenges and emissions from operations.,CC
We continue to explore other ways to increase recycling throughout our portfolio.,We keep looking into new opportunities to improve recycling across our portfolio.,PW
Allegations of retaliation will be investigated and appropriate action will be taken.,"Retaliation claims will be looked into, and the proper measures will be taken.",BE
We provide consumer and business tip sheets to support their privacy and security.,"To assist consumers' privacy and security, we offer business and consumer tip sheets.",PL
The system uses programmable logic controllers and zoning to further reduce energy consumption.,Zoning and programmable logic controllers are used in the system to further cut down on energy utilization.,CC
CSF seeks to reduce financial barriers low-income students face by awarding need-based scholarships.,CSF awards need-based scholarships in an effort to lessen the financial obstacles that low-income students must overcome.,CR
Our Hermosillo Stamping and Assembly Plant (HSAP) in Mexico is located in a water-stressed area.,"Our Mexico facility, the Hermosillo Stamping and Assembly Plant (HSAP), is situated in a dry region.",NC
Only workers with a legal right to work shall be employed or used by a supplier.,A supplier may only hire or use individuals who are legally entitled to work.,HC
"By recycling these materials, we can prevent a significant amount of these impacts.",We can greatly reduce many of these effects by recycling these materials.,PW
Other offices are pursuing creative approaches to reducing waste.,Other workplaces are seeking innovative strategies to cut waste.,PW
"We have made progress, but there is more to do, particularly on the climate change front.","Even while we have achieved progress, there is still work to be done, notably in the area of climate change.",CC
"For example, Caterpillar spent $547,756 on lobbying in California from 2010 2018.","For instance, from 2010 to 2018, Caterpillar spent $547,756 on lobbying in California.",BE
We have increased our use of produced water and brackish water for drilling operations in our U.S.,"In the United States, we now use more produced water and brackish water for drilling operations.",NC
One of Ball’s core values and most important cultural assets is integrity.,Integrity is one of Ball's key principles and its most significant cultural asset.,BE
A corporate compliance policy committee governs the companywide compliance program.,The company-wide compliance program is overseen by a corporate compliance policy committee.,CG
"The event targeted students from 9 to 14 years of age and attracted more than 19,000 visitors.","More than 19,000 people attended the event, which catered to students between the ages of 9 and 14.",CR
Our suppliers are also implementing freshwater alternatives.,"Additionally, our suppliers are using freshwater substitutes.",NC
"Through this involvement, we have recently signed on to the REBA Commercial Real Estate Principles.",We just endorsed the REBA Commercial Real Estate Principles as a result of this involvement.,CC
GOAL: Reduce water consumption intensity by 50 percent from 2006 to 2020.,"OBJECTIVE: From 2006 to 2020, reduce water usage intensity by 50%.",NC
It is processed elemental chlorine-free and produced using wind energy.,It is created using wind energy and processed without the use of elemental chlorine.,CC
"We’re protecting and restoring 27,000 acres of mangrove forest in Colombia.","In Colombia, we are preserving and regenerating 27,000 acres of mangrove forest.",NC
"For their service, outside directors receive an annual retainer, as described below.",Outside directors are compensated annually for their services in the manner that is detailed below.,CG
"In 2016, Kimco employees volunteered a total of 476 hours through this program.","Through this program, Kimco workers volunteered a total of 476 hours in 2016.",CR
"To date, more than 400 individuals representing more than 140 pack houses have received training.","More than 400 people, representing more than 140 pack households, have trained so far.",HC
"In August 2006, the Pension Protection Act of 2006 was signed into law.",The Pension Protection Act of 2006 was enacted into law in August of that year.,N
Long-tenure in a director is the opposite of independence.,Independence is the reverse of long-tenure in a director.,CG
The board may at any time and from time to time and in any respect amend or modify the 2007 Plan.,"The 2007 Plan may be amended or modified by the board at any time, periodically, and in any way.",CG
Thermo Electron is a Delaware corporation and was incorporated in 1956.,Thermo Electron was established in 1956 and is a Delaware corporation.,N
Our cost per case decreased $0.10 per case in fiscal 2014 as compared to fiscal 2013.,"In comparison to fiscal 2013, our cost per case dropped by $0.10 in 2014.",N
"To favor real circularity, higher fees for landfill and incineration are needed.",Higher prices for landfill and incineration are required to promote true circularity.,PW
"Going forward, Prologis will report progress toward converting the portfolio to 100% LED.",Prologis will update investors on its progress toward transitioning the portfolio to 100% LED in the future.,CC
